,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to the property,plot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Utilities,LotConfig,Slope of property,Neighborhood,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house & Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior & Evaluates the present condition of the material on the exterior ,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement & Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,HeatingQC,Central air conditioning,Electrical,First Floor square feet,Second-floor square feet,Low-quality finished square feet (all floors),Above grade (ground) living area square feet,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,KitchenQual, Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,GarageQual,GarageCond,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence,Miscellaneous feature not covered in other categories, $Value of miscellaneous feature,Month Sold (MM) & Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
123,STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,55,7892sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,SawyerW,Normal,Townhouse End Unit,One story,6,5,1993,1993,Gable,Standard (Composite) Shingle,Plywood,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,300,Unfinished,0,899,1199,Gas forced warm air furnace,Excellent,Yes,SBrkr,1199,0,0square feet,1199,2,0,2,1,Good,5,Typical Functionality,0,No,Attached to the home,1993.0,RFn,2,530square feet,Typical/Average,TA,Paved,0square feet,63square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2008,Warranty Deed - Conventional,Normal Sale,153900
124,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,48,17043sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,NWAmes,Normal,Single-family Detached,One story,6,5,1979,1998,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Fair - dampness or some cracking or settling& No Exposure,Unf,0,Unfinished,0,1362,1362,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1586,0,0square feet,1586,2,0,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1979.0,Unf,2,435square feet,Typical/Average,TA,Paved,192square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jan&2009,Warranty Deed - Conventional,Normal Sale,181000
125,2 FAMILY CONVERSION - ALL STYLES AND AGES,RM,60,6780sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,IDOTRR,Normal,2fmCon,One and one-half story: 2nd level finished,6,8,1935,1982,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,490,Unfinished,0,30,520,Gas forced warm air furnace,Good,No,SBrkr,520,0,234square feet,754,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Dirt/Gravel,53square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2006,Warranty Deed - Conventional,Normal Sale,84500
126,STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,0,4928sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,NPkVill,Normal,Townhouse End Unit,One story,6,5,1976,1976,Gable,Standard (Composite) Shingle,Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,ALQ,120,Unfinished,0,958,1078,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,958,0,0square feet,958,2,0,2,1,Typical/Average,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1977.0,RFn,2,440square feet,Typical/Average,TA,Paved,0square feet,205square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Feb&2007,Warranty Deed - Conventional,Normal Sale,128000
127,1/2 STORY - UNFINISHED ALL AGES,RM,55,4388sqare feet,Paved,Slightly irregular,Banked - Quick and significant rise from street grade to building,AllPub,Inside,Gentle slope,OldTown,Adjacent to feeder street&Normal,Single-family Detached,One and one-half story: 2nd level unfinished,5,7,1930,1950,Gable,Standard (Composite) Shingle,WdShing&Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,LwQ,116,Unfinished,0,556,672,Gas forced warm air furnace,Excellent,Yes,SBrkr,840,0,0square feet,840,1,0,3,1,Typical/Average,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,No,,No,0,0square feet,No,No,Dirt/Gravel,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2007,Warranty Deed - Conventional,Normal Sale,87000
128,2-STORY 1946 & NEWER,Residential Low-Density,69,7590sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,"Near positive off-site feature--park, greenbelt, etc&Normal",Single-family Detached,Two-story,6,5,1966,1966,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,266squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,512,Unfinished,0,148,660,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,660,688,0square feet,1348,1,1,3,1,Typical/Average,6,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1966.0,RFn,2,453square feet,Typical/Average,TA,Paved,188square feet,108square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2006,Warranty Deed - Conventional,Normal Sale,155000
129,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,69,8973sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,7,1958,1991,Gable,Standard (Composite) Shingle,Plywood,Brick Face,85squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,567,Below Average Living Quarters,28,413,1008,Gas forced warm air furnace,Average/Typical,Yes,FuseA,1053,0,0square feet,1053,1,1,3,1,Excellent,6,Typical Functionality,0,No,More than one type of garage,1998.0,RFn,2,750square feet,Typical/Average,TA,Paved,0square feet,80square feet,0square feet,180square feet,0square feet,0square feet,No,Minimum Wood/Wire,No,0,Jul&2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",150000
130,2-STORY 1946 & NEWER,Residential Low-Density,88,14200sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Normal,Single-family Detached,Two-story,7,6,1966,1966,Gable,Standard (Composite) Shingle,Metal Siding,Brick Face,309squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,445,Unfinished,0,479,924,Gas forced warm air furnace,Excellent,Yes,SBrkr,1216,941,0square feet,2157,2,1,4,1,Good,8,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1966.0,Fin,2,487square feet,Typical/Average,TA,Paved,105square feet,66square feet,0square feet,0square feet,0square feet,0square feet,No,Good Privacy,No,0,May&2006,Warranty Deed - Conventional,Normal Sale,226000
131,2-STORY 1946 & NEWER,Residential Low-Density,0,12224sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,6,5,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,40squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,695,Unfinished,0,297,992,Gas forced warm air furnace,Excellent,Yes,SBrkr,1022,1032,0square feet,2054,2,1,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),2000.0,RFn,2,390square feet,Typical/Average,TA,Paved,24square feet,48square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2009,Warranty Deed - Conventional,Normal Sale,244000
132,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,7388sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,6,1959,2002,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,405,Unfinished,0,658,1063,Gas forced warm air furnace,Good,Yes,SBrkr,1327,0,0square feet,1327,1,0,3,1,Good,7,Typical Functionality,0,No,Detached from home,1974.0,Unf,2,624square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,150750
133,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,6853sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Timber,Normal,Single-family Detached,One story,8,5,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,136squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed& No Exposure,GLQ,1005,Unfinished,0,262,1267,Gas forced warm air furnace,Excellent,Yes,SBrkr,1296,0,0square feet,1296,2,0,2,1,Good,6,Typical Functionality,0,No,Attached to the home,2001.0,Fin,2,471square feet,Typical/Average,TA,Paved,192square feet,25square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2009,Warranty Deed - Conventional,Normal Sale,220000
134,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,78,10335sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Normal,Single-family Detached,One story,5,6,1968,1993,Gable,Standard (Composite) Shingle,Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,570,Unfinished,0,891,1461,Gas forced warm air furnace,Good,Yes,SBrkr,1721,0,0square feet,1721,2,1,3,1,Typical/Average,7,Minor Deductions 1,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968.0,RFn,2,440square feet,Typical/Average,TA,Paved,0square feet,96square feet,180square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jul&2006,Warranty Deed - Conventional,Normal Sale,180000
135,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,10400sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NWAmes,Normal,Single-family Detached,One story,7,6,1970,1970,Hip,Standard (Composite) Shingle,Plywood,Brick Face,288squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1304,1304,Gas forced warm air furnace,Good,Yes,SBrkr,1682,0,0square feet,1682,2,0,3,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1970.0,Unf,2,530square feet,Typical/Average,TA,Paved,98square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,May&2008,Warranty Deed - Conventional,Normal Sale,174000
136,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,10355sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Normal,Single-family Detached,One story,5,5,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,Brick Face,196squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,695,Unfinished,0,519,1214,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1214,0,0square feet,1214,2,0,3,1,Typical/Average,5,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1967.0,RFn,1,318square feet,Typical/Average,TA,Paved,0square feet,111square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2007,Warranty Deed - Conventional,Normal Sale,143000
137,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,82,11070sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Mitchel,Normal,Duplex,One story,7,5,1988,1989,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,70squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1907,1907,Gas forced warm air furnace,Good,Yes,SBrkr,1959,0,0square feet,1959,3,0,5,2,Typical/Average,9,Typical Functionality,0,No,More than one type of garage,1989.0,Unf,3,766square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jul&2006,Warranty Deed - Conventional,Sale between family members,171000
138,2-STORY 1946 & NEWER,Residential Low-Density,73,9066sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,8,5,1999,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,320squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,GLQ,668,Unfinished,0,336,1004,Gas forced warm air furnace,Excellent,Yes,SBrkr,1004,848,0square feet,1852,2,1,3,1,Good,7,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1999.0,Fin,3,660square feet,Typical/Average,TA,Paved,224square feet,106square feet,0square feet,0square feet,0square feet,0square feet,No,Good Privacy,No,0,Dec&2008,Warranty Deed - Conventional,Normal Sale,230000
139,2-STORY 1946 & NEWER,Residential Low-Density,65,15426sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,6,5,1997,1997,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,821,Unfinished,0,107,928,Gas forced warm air furnace,Excellent,Yes,SBrkr,928,836,0square feet,1764,2,1,3,1,Good,7,Typical Functionality,0,No,Attached to the home,1997.0,RFn,2,470square feet,Typical/Average,TA,Paved,276square feet,99square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Aug&2009,Warranty Deed - Conventional,Normal Sale,231500
140,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,10500sqare feet,Paved,Regular,Near Flat/Level,AllPub,Frontage on 2 sides of the property,Gentle slope,NAmes,Normal,Single-family Detached,One story,4,5,1971,1971,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,ALQ,432,Unfinished,0,432,864,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,864,0,0square feet,864,1,0,3,1,Typical/Average,5,Typical Functionality,1,Poor - Ben Franklin Stove,No,,No,0,0square feet,No,No,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2010,Contract Low Interest,Normal Sale,115000
141,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,78,11645sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,7,5,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,1300,Unfinished,0,434,1734,Gas forced warm air furnace,Excellent,Yes,SBrkr,1734,0,0square feet,1734,2,0,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2005.0,Fin,2,660square feet,Typical/Average,TA,Paved,160square feet,24square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jan&2006,Warranty Deed - Conventional,Normal Sale,260000
142,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,71,8520sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,NAmes,Adjacent to arterial stree&Normal,Single-family Detached,One and one-half story: 2nd level finished,5,4,1952,1952,Gable,Standard (Composite) Shingle,Brick Face&Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,507,Unfinished,0,403,910,Gas forced warm air furnace,Fair,Yes,SBrkr,910,475,0square feet,1385,2,0,4,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,2000.0,Unf,2,720square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jun&2010,Warranty Deed - Conventional,Normal Sale,166000
143,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,78,10335sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,One story,7,5,1999,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,183squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,GLQ,679,Unfinished,0,811,1490,Gas forced warm air furnace,Excellent,Yes,SBrkr,1501,0,0square feet,1501,2,0,3,1,Good,6,Typical Functionality,0,No,Attached to the home,1999.0,RFn,2,577square feet,Typical/Average,TA,Paved,144square feet,29square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jun&2009,Warranty Deed - Conventional,Normal Sale,204000
144,DUPLEX - ALL STYLES AND AGES,RM,70,9100sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Sawyer,Adjacent to East-West Railroad&Normal,Duplex,One story,5,5,1963,1963,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,336squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,1332,Unfinished,0,396,1728,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1728,0,0square feet,1728,2,0,6,2,Typical/Average,10,Typical Functionality,0,No,Detached from home,1963.0,Unf,2,504square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Nov&2006,Contract Low Interest,"Abnormal Sale -  trade, foreclosure, short sale",125000
145,2-STORY PUD - 1946 & NEWER,RM,24,2522sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Edwards,Normal,Twnhs,Two-story,6,5,2004,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,50squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,970,970,Gas forced warm air furnace,Excellent,Yes,SBrkr,970,739,0square feet,1709,2,0,3,1,Good,7,Major Deductions 1,0,No,Detached from home,2004.0,Unf,2,380square feet,Typical/Average,TA,Paved,0square feet,40square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2006,Warranty Deed - Conventional,Normal Sale,130000
146,1-STORY 1945 & OLDER,RM,51,6120sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,BrkSide,Normal,Single-family Detached,One story,5,7,1931,1993,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,BLQ,209,Unfinished,0,506,715,Gas forced warm air furnace,Average/Typical,Yes,FuseA,875,0,0square feet,875,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1931.0,Unf,1,180square feet,Fair,TA,Paved,48square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Nov&2009,Warranty Deed - Conventional,Normal Sale,105000
147,2-STORY 1946 & NEWER,Residential Low-Density,0,9505sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,7,5,2001,2001,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,180squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,884,884,Gas forced warm air furnace,Excellent,Yes,SBrkr,884,1151,0square feet,2035,2,1,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2001.0,Fin,2,434square feet,Typical/Average,TA,Paved,144square feet,48square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2010,Warranty Deed - Conventional,Normal Sale,222500
148,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,63,7500sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,SawyerW,Normal,Single-family Detached,One story,7,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,120squarefeetsqare feet,Average/Typical&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,680,Unfinished,0,400,1080,Gas forced warm air furnace,Excellent,Yes,SBrkr,1080,0,0square feet,1080,1,0,3,1,Good,6,Typical Functionality,0,No,No,,No,0,0square feet,No,No,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2008,Warranty Deed - Conventional,Normal Sale,141000
149,1-1/2 STORY FINISHED ALL AGES,RM,0,6240sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,BrkSide,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,4,1936,1950,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,896,896,Gas forced warm air furnace,Good,Yes,FuseA,896,448,0square feet,1344,1,0,3,1,Typical/Average,7,Typical Functionality,0,No,Detached from home,1936.0,Unf,1,240square feet,Fair,TA,Paved,200square feet,114square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2006,Warranty Deed - Conventional,Normal Sale,115000
150,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,120,10356sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,CollgCr,Normal,Single-family Detached,One story,5,6,1975,1975,Gable,Standard (Composite) Shingle,Hard Board,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),BLQ,716,Unfinished,0,253,969,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,969,0,0square feet,969,1,1,3,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1975.0,Unf,2,440square feet,Typical/Average,TA,Paved,0square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,Minimum Privacy,No,0,Jan&2007,Warranty Deed - Conventional,Normal Sale,122000
151,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,107,13891sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,NridgHt,Normal,Single-family Detached,One story,8,5,2007,2008,Hip,Standard (Composite) Shingle,Vinyl Siding,Stone ,436squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed&Good Exposure,GLQ,1400,Unfinished,0,310,1710,Gas forced warm air furnace,Excellent,Yes,SBrkr,1710,0,0square feet,1710,2,0,2,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007.0,RFn,3,866square feet,Typical/Average,TA,Paved,0square feet,102square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jan&2008,Home just constructed and sold, Home was not completed when last assessed (associated with New  Homes),372402
152,2-STORY 1946 & NEWER,Residential Low-Density,0,14803sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,CulDSac,Gentle slope,NWAmes,Normal,Single-family Detached,Two-story,6,5,1971,1971,Gable,Standard (Composite) Shingle,Hard Board,Brick Face,252squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Rec,416,Unfinished,0,409,825,Gas forced warm air furnace,Good,Yes,SBrkr,1097,896,0square feet,1993,2,1,4,1,Typical/Average,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1971.0,RFn,2,495square feet,Typical/Average,TA,Paved,0square feet,66square feet,0square feet,0square feet,0square feet,0square feet,No,Good Wood,No,0,Jun&2006,Warranty Deed - Conventional,Normal Sale,190000
153,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,13500sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,ClearCr,Normal,Single-family Detached,One story,6,7,1960,1975,Flat,Standard (Composite) Shingle,Brick Face&Plywood,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,BLQ,429,Average Living Quarters,1080,93,1602,Gas forced warm air furnace,Good,Yes,SBrkr,1252,0,0square feet,1252,1,0,1,1,Typical/Average,4,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1960.0,RFn,2,564square feet,Typical/Average,TA,Paved,409square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2008,Warranty Deed - Conventional,Normal Sale,235000
154,1-STORY 1945 & OLDER,RM,84,11340sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,OldTown,Normal,Single-family Detached,One story,6,5,1923,1950,Gable,Standard (Composite) Shingle,Wood Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,1200,1200,Gas forced warm air furnace,Average/Typical,Yes,FuseA,1200,0,0square feet,1200,1,0,4,1,Typical/Average,7,Typical Functionality,0,No,Detached from home,1923.0,Unf,1,312square feet,Fair,Fa,Paved,0square feet,0square feet,228square feet,0square feet,0square feet,0square feet,No,No,No,0,Mar&2006,Warranty Deed - Conventional,Sale between family members,125000
